"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",1
"3","CO","Colorado",2
"4","IA","Iowa",NA
"5","IL","Illinois",2
"6","IN","Indiana",2
"7","KS","Kansas",NA
"8","MO","Missouri",1
"9","NE","Nebraska",NA
"10","NM","New Mexico",NA
"11","NV","Nevada",1
"12","OK","Oklahoma",NA
"13","TN","Tennessee",NA
"14","UT","Utah",1
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",1
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",NA
"25","TX","Texas",2
"26","AL","Alabama",NA
"27","GA","Georgia",1
"28","LA","Louisiana",NA
"29","MS","Mississippi",NA
"30","SC","South Carolina",NA
"31","CA","California",2
"32","CT","Connecticut",NA
"33","DC","District of Columbia",NA
"34","DE","Delaware",NA
"35","KY","Kentucky",NA
"36","MA","Massachusetts",3
"37","MD","Maryland",1
"38","NC","North Carolina",2
"39","NJ","New Jersey",NA
"40","NY","New York",7
"41","OH","Ohio",2
"42","PA","Pennsylvania",6
"43","RI","Rhode Island",NA
"44","VA","Virginia",3
"45","WI","Wisconsin",1
"46","MI","Michigan",1
"47","ME","Maine",2
"48","MN","Minnesota",NA
"49","NH","New Hampshire",NA
"50","OR","Oregon",NA
"51","WA","Washington",2
