"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",1
"3","CO","Colorado",2
"4","IA","Iowa",1
"5","IL","Illinois",2
"6","IN","Indiana",1
"7","KS","Kansas",NA
"8","MO","Missouri",2
"9","NE","Nebraska",1
"10","NM","New Mexico",NA
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",3
"14","UT","Utah",1
"15","WV","West Virginia",NA
"16","ID","Idaho",1
"17","MT","Montana",1
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",3
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",4
"25","TX","Texas",3
"26","AL","Alabama",NA
"27","GA","Georgia",4
"28","LA","Louisiana",1
"29","MS","Mississippi",NA
"30","SC","South Carolina",1
"31","CA","California",4
"32","CT","Connecticut",1
"33","DC","District of Columbia",NA
"34","DE","Delaware",NA
"35","KY","Kentucky",1
"36","MA","Massachusetts",7
"37","MD","Maryland",1
"38","NC","North Carolina",3
"39","NJ","New Jersey",1
"40","NY","New York",11
"41","OH","Ohio",3
"42","PA","Pennsylvania",5
"43","RI","Rhode Island",1
"44","VA","Virginia",2
"45","WI","Wisconsin",1
"46","MI","Michigan",2
"47","ME","Maine",1
"48","MN","Minnesota",1
"49","NH","New Hampshire",NA
"50","OR","Oregon",1
"51","WA","Washington",3
