"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",1
"3","CO","Colorado",4
"4","IA","Iowa",1
"5","IL","Illinois",1
"6","IN","Indiana",2
"7","KS","Kansas",NA
"8","MO","Missouri",2
"9","NE","Nebraska",1
"10","NM","New Mexico",NA
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",2
"14","UT","Utah",NA
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",NA
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",2
"25","TX","Texas",NA
"26","AL","Alabama",NA
"27","GA","Georgia",1
"28","LA","Louisiana",1
"29","MS","Mississippi",NA
"30","SC","South Carolina",1
"31","CA","California",5
"32","CT","Connecticut",1
"33","DC","District of Columbia",NA
"34","DE","Delaware",NA
"35","KY","Kentucky",NA
"36","MA","Massachusetts",2
"37","MD","Maryland",NA
"38","NC","North Carolina",1
"39","NJ","New Jersey",NA
"40","NY","New York",7
"41","OH","Ohio",NA
"42","PA","Pennsylvania",5
"43","RI","Rhode Island",NA
"44","VA","Virginia",1
"45","WI","Wisconsin",1
"46","MI","Michigan",2
"47","ME","Maine",NA
"48","MN","Minnesota",2
"49","NH","New Hampshire",NA
"50","OR","Oregon",1
"51","WA","Washington",2
