"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",3
"3","CO","Colorado",2
"4","IA","Iowa",1
"5","IL","Illinois",2
"6","IN","Indiana",3
"7","KS","Kansas",1
"8","MO","Missouri",2
"9","NE","Nebraska",NA
"10","NM","New Mexico",1
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",5
"14","UT","Utah",1
"15","WV","West Virginia",1
"16","ID","Idaho",NA
"17","MT","Montana",1
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",2
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",7
"25","TX","Texas",3
"26","AL","Alabama",2
"27","GA","Georgia",3
"28","LA","Louisiana",2
"29","MS","Mississippi",1
"30","SC","South Carolina",3
"31","CA","California",15
"32","CT","Connecticut",NA
"33","DC","District of Columbia",NA
"34","DE","Delaware",1
"35","KY","Kentucky",1
"36","MA","Massachusetts",5
"37","MD","Maryland",NA
"38","NC","North Carolina",4
"39","NJ","New Jersey",1
"40","NY","New York",12
"41","OH","Ohio",5
"42","PA","Pennsylvania",6
"43","RI","Rhode Island",1
"44","VA","Virginia",5
"45","WI","Wisconsin",2
"46","MI","Michigan",5
"47","ME","Maine",2
"48","MN","Minnesota",2
"49","NH","New Hampshire",1
"50","OR","Oregon",3
"51","WA","Washington",3
