"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",1
"3","CO","Colorado",5
"4","IA","Iowa",1
"5","IL","Illinois",2
"6","IN","Indiana",1
"7","KS","Kansas",2
"8","MO","Missouri",2
"9","NE","Nebraska",NA
"10","NM","New Mexico",1
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",3
"14","UT","Utah",1
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",1
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",7
"25","TX","Texas",2
"26","AL","Alabama",NA
"27","GA","Georgia",4
"28","LA","Louisiana",2
"29","MS","Mississippi",NA
"30","SC","South Carolina",NA
"31","CA","California",13
"32","CT","Connecticut",2
"33","DC","District of Columbia",2
"34","DE","Delaware",1
"35","KY","Kentucky",2
"36","MA","Massachusetts",2
"37","MD","Maryland",NA
"38","NC","North Carolina",3
"39","NJ","New Jersey",2
"40","NY","New York",14
"41","OH","Ohio",5
"42","PA","Pennsylvania",5
"43","RI","Rhode Island",1
"44","VA","Virginia",2
"45","WI","Wisconsin",NA
"46","MI","Michigan",4
"47","ME","Maine",3
"48","MN","Minnesota",1
"49","NH","New Hampshire",1
"50","OR","Oregon",5
"51","WA","Washington",3
