"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",3
"3","CO","Colorado",7
"4","IA","Iowa",NA
"5","IL","Illinois",4
"6","IN","Indiana",NA
"7","KS","Kansas",1
"8","MO","Missouri",4
"9","NE","Nebraska",NA
"10","NM","New Mexico",3
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",NA
"14","UT","Utah",NA
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",4
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",NA
"25","TX","Texas",NA
"26","AL","Alabama",NA
"27","GA","Georgia",1
"28","LA","Louisiana",NA
"29","MS","Mississippi",NA
"30","SC","South Carolina",NA
"31","CA","California",14
"32","CT","Connecticut",3
"33","DC","District of Columbia",1
"34","DE","Delaware",NA
"35","KY","Kentucky",NA
"36","MA","Massachusetts",6
"37","MD","Maryland",1
"38","NC","North Carolina",2
"39","NJ","New Jersey",2
"40","NY","New York",20
"41","OH","Ohio",6
"42","PA","Pennsylvania",4
"43","RI","Rhode Island",1
"44","VA","Virginia",5
"45","WI","Wisconsin",3
"46","MI","Michigan",5
"47","ME","Maine",1
"48","MN","Minnesota",2
"49","NH","New Hampshire",4
"50","OR","Oregon",2
"51","WA","Washington",2
