"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",2
"3","CO","Colorado",13
"4","IA","Iowa",NA
"5","IL","Illinois",4
"6","IN","Indiana",NA
"7","KS","Kansas",NA
"8","MO","Missouri",NA
"9","NE","Nebraska",NA
"10","NM","New Mexico",1
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",3
"14","UT","Utah",NA
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",12
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",NA
"25","TX","Texas",1
"26","AL","Alabama",2
"27","GA","Georgia",6
"28","LA","Louisiana",2
"29","MS","Mississippi",1
"30","SC","South Carolina",1
"31","CA","California",8
"32","CT","Connecticut",3
"33","DC","District of Columbia",3
"34","DE","Delaware",NA
"35","KY","Kentucky",NA
"36","MA","Massachusetts",8
"37","MD","Maryland",NA
"38","NC","North Carolina",5
"39","NJ","New Jersey",1
"40","NY","New York",16
"41","OH","Ohio",3
"42","PA","Pennsylvania",NA
"43","RI","Rhode Island",3
"44","VA","Virginia",5
"45","WI","Wisconsin",2
"46","MI","Michigan",1
"47","ME","Maine",5
"48","MN","Minnesota",3
"49","NH","New Hampshire",9
"50","OR","Oregon",5
"51","WA","Washington",3
